Higher Taxonomy;Genus;Species;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18
Sauropodomorph;Pampadromaeus;barberenai;0.274196685;0.402117345;0.050544456;0.151985327;0.089407396;0.463556899;0.216948396;-0.084535435;0.115144949;0.026048212;1.448182311;2.482469512;2.58817146;0.8366;0.796972395;?;?;?
Sauropodomorph;Efraasia;minor;0.306934862;0.615856556;0.174568841;0.185090983;0.114142324;0.399363473;0.44392478;-0.193448708;0.068855738;0.035280566;1.6322217;2.266649785;8.40230155;0.9966;0.472366426;?;?;?
Sauropodomorph;Unaysaurus;tolentinoi;0.331557981;0.615588787;0.100053173;0.146708942;0.09862555;0.443416692;0.434238444;-0.140240462;0.054950283;0.049117028;1.495473251;2.462435838;6.325102881;0.98746;0.417231365;?;?;?
Sauropodomorph;Plateosaurus;erlenbergiensis;0.33885431;0.560109537;0.062012324;0.172274262;0.10552715;0.479346817;0.368193305;-0.102747518;0.033331614;0.044438578;2.00449169;1.957933461;1.228926486;0.85533;0.588974209;?;?;?
Sauropodomorph;Coloradisaurus;brevis;0.332460154;0.416876544;0.113368087;0.184612941;0.110295168;0.328916634;0.581445155;-0.190102435;0.092051394;0.035771025;2.120054945;2.597480832;3.214285714;0.80407;0.7839564;?;?;?
Sauropodomorph;Plateosaurus (Sellosaurus);gracilis;0.304536167;0.554695988;0.141998993;0.164976541;0.0964012;0.449830625;0.395637918;-0.19264895;0.082302823;0.113560191;2.181651376;2.551724138;4.113761468;0.79351;0.502843112;?;?;?
Sauropodomorph;Riojasaurus;incertus;0.268767237;0.426501997;0.095819638;0.198834024;0.113066669;0.516056512;0.33199829;-0.040017443;0.016735895;0;1.616938617;2.041326285;4.186480186;0.63435;0.377505392;?;?;?
Sauropodomorph;Pantydraco;caducus;0.319761786;0.546623403;0.127173939;0.148007114;0.096794202;0.478501935;0.367820902;-0.069923632;0.065147685;0.043458476;2.096289753;2.286368843;8.025618375;0.8751;0.679306609;?;?;?
Sauropodomorph;Plateosaurus;engelharti;0.348813123;0.620266836;0.117722235;0.174303846;0.092549721;0.441526111;0.394577567;-0.181726432;0.074768038;0.028895417;1.945128577;1.83269962;1.466316552;0.73301;0.533980121;?;?;?
Sauropodomorph;Plateosaurus;longiceps;0.345289033;0.584855359;0.134461117;0.182911276;0.109557092;0.517766207;0.391963072;-0.236506879;0.08954738;0.033745635;1.989642041;1.639509733;2.006549886;0.68199;0.458642893;?;?;?
