site,habitat,region,status,sp.1,sp.2,sp.3,sp.4,sp.5,sp.6,sp.7,sp.8,sp.9,sp.10,sp.11,sp.12,sp.13,sp.14,sp.15,sp.16,sp.17,sp.18,sp.19,sp.20,sp.21,sp.22,sp.23,sp.24,sp.25,sp.26,sp.27,sp.28,sp.29,sp.30,abund
1,grassland,WY,unprotected,0,1,6,4,0,0,10,0,0,2,0,1,6,4,2,0,10,0,0,2,0,0,0,0,0,3,0,0,0,0,51
2,grassland,ND,unprotected,3,5,3,3,3,3,3,3,3,3,3,5,3,4,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,66
3,grassland,WY,unprotected,3,3,4,9,3,3,3,3,6,3,3,3,4,9,5,4,3,3,6,3,0,0,0,0,0,0,1,0,0,0,84
4,grassland,ND,unprotected,2,2,2,2,2,2,2,2,2,3,2,2,16,2,2,2,3,2,2,3,0,0,0,0,0,1,0,1,0,0,59
5,grassland,ND,unprotected,3,4,3,3,3,3,3,3,3,3,3,6,3,4,3,3,3,3,3,3,0,0,0,0,0,5,0,2,0,0,72
6,grassland,ND,unprotected,3,5,3,16,3,3,3,3,3,3,3,5,3,17,3,3,3,3,3,3,0,0,0,0,0,1,0,0,3,0,95
7,grassland,WY,unprotected,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,6,1,1,3,0,0,0,0,0,0,0,0,0,0,7,29
8,grassland,WY,unprotected,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,1,15
9,grassland,ND,unprotected,1,2,1,1,1,4,2,1,1,4,1,2,1,1,1,4,2,1,3,4,0,0,0,0,0,0,0,2,0,1,41
10,grassland,ND,unprotected,4,4,4,6,5,4,4,4,4,4,4,4,9,6,5,4,4,4,4,4,0,0,0,0,0,2,0,0,0,1,94
11,grassland,SD,unprotected,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,1,1,0,15,27
12,grassland,SD,protected,1,1,1,14,1,1,2,1,1,2,2,1,1,30,1,1,2,1,1,2,0,0,0,0,0,1,1,3,1,1,74
13,grassland,ND,unprotected,1,3,1,1,1,1,1,5,6,3,1,3,1,1,1,2,2,5,7,4,0,0,0,0,0,1,0,2,2,0,55
14,grassland,WY,protected,5,1,1,5,1,1,1,1,3,1,5,1,1,8,1,2,1,1,3,1,0,0,0,0,0,0,0,1,0,0,45
15,grassland,WY,unprotected,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,27,1,0,0,0,0,0,4,0,0,0,1,55
16,grassland,ND,unprotected,2,3,3,2,2,2,2,5,2,2,3,3,4,2,2,2,2,5,3,2,0,0,0,0,0,0,1,0,1,0,55
17,grassland,ND,unprotected,2,3,7,2,2,2,2,2,3,2,2,4,7,2,2,2,2,4,3,2,0,0,0,0,0,0,0,1,3,1,62
18,grassland,ND,unprotected,1,1,1,1,4,3,1,1,1,1,1,1,1,1,4,3,1,1,1,1,0,0,0,0,0,0,2,0,3,2,37
19,grassland,ND,unprotected,5,5,5,5,5,5,6,9,6,5,5,5,5,5,5,5,8,9,6,5,0,0,0,0,0,1,1,0,1,0,117
20,grassland,SD,protected,1,1,1,1,1,2,1,1,1,1,1,38,1,1,2,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,63
21,grassland,WY,unprotected,4,4,5,4,7,4,4,4,4,4,4,4,5,5,7,4,4,5,4,4,0,0,0,0,0,0,11,1,0,0,102
22,grassland,SD,unprotected,1,1,1,26,1,2,1,1,2,1,1,2,1,26,1,3,2,1,2,1,0,0,0,0,0,0,0,0,1,2,80
23,grassland,ND,unprotected,1,1,5,5,1,1,1,1,5,2,1,2,5,9,1,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,51
